variant_id,title_long,product_type,handle,color,store_name
12269,Bavincis Calvert Brown And Brown Edition Sunglasses,sunglasses,bavincis-calvert-brown-and-brown-edition-sunglasses,brown - brown,Store_E
12270,Bavincis Carloz Black And Black Edition Sunglasses,sunglasses,bavincis-carloz-black-and-black-edition-sunglasses,black - black,Store_E
12271,Bavincis Carloz Black And White Antiray Edition Sunglasses,sunglasses,bavincis-carloz-black-and-blue-edition-sunglasses,black - white,Store_E
12272,Bavincis Carloz Black And Yellow Edition Sunglasses,sunglasses,bavincis-carloz-black-and-yellow-edition-sunglasses,black - yellow,Store_E
12273,Bavincis Carloz Gold And Black Edition Sunglasses,sunglasses,bavincis-carloz-gold-and-black-edition-sunglasses,gold - black,Store_E
12274,Bavincis Carloz Gold And Blue Gradient Edition Sunglasses,sunglasses,bavincis-carloz-gold-and-blue-gradient-edition-sunglasses,gold - blue,Store_E
12275,Bavincis Carloz Gold And Brown Gradient Edition Sunglasses,sunglasses,bavincis-carloz-gold-and-brown-gradient-edition-sunglasses,gold - brown,Store_E
12276,Bavincis Carloz Gold And Green Edition Sunglasses,sunglasses,bavincis-carloz-gold-and-green-edition-sunglasses,gold - green,Store_E
12277,Bavincis Casenova Blue and Black I Automatic Watch,automatic watch,bavincis-casenova-blue-and-black-i-automatic-watch,blue - black,Store_E
12278,Bavincis Casenova Gold and Black I Automatic Watch,automatic watch,bavincis-casenova-gold-and-black-i-automatic-watch,gold - black,Store_E
12279,Bavincis Casenova Rose Gold and Black I Automatic Watch,automatic watch,bavincis-casenova-rose-gold-and-black-i-automatic-watch,rose - gold - black,Store_E
12280,Bavincis Cooper Black And Black Edition Sunglasses,sunglasses,bavincis-cooper-black-and-black-edition-sunglasses,black - black,Store_E
12281,Bavincis Cooper Gold And Black Edition Sunglasses,sunglasses,bavincis-cooper-gold-and-black-edition-sunglasses,gold - black,Store_E
12282,Bavincis Cooper Gold And Blue Gradient Edition Sunglasses,sunglasses,bavincis-cooper-gold-and-blue-gradient-edition-sunglasses,gold - blue,Store_E
12283,Bavincis Cooper Gold And Green Edition Sunglasses,sunglasses,bavincis-cooper-gold-and-green-edition-sunglasses,gold - green,Store_E
12284,Bavincis Cooper Silver And Grey Gradient Edition Sunglasses,sunglasses,bavincis-cooper-silver-and-grey-gradient-edition-sunglasses,silver - grey,Store_E
12285,Bavincis Cooper Silver Blue-Brown Gradient Edition Sunglasses,sunglasses,bavincis-cooper-silver-blue-brown-gradient-edition-sunglasses-1,silver,Store_E
12286,Bavincis Cooper Silver Gray Brown Gradient Edition Sunglasses,sunglasses,bavincis-cooper-silver-blue-brown-gradient-edition-sunglasses,silver - gray - brown,Store_E
12287,Bavincis Cosmograph Gold and Blue I Automatic Watch,automatic watch,bavincis-cosmograph-i-automatic-watch,gold - blue,Store_E
12288,Bavincis Cosmograph Gold and Green I Automatic Watch,automatic watch,bavincis-cosmograph-gold-and-green-i-automatic-watch,gold - green,Store_E
12289,Bavincis Cromwell Black And Black Edition Sunglasses,sunglasses,bavincis-cromwell-black-and-black-edition-sunglasses,black - black,Store_E
12290,Bavincis Delight  Black And Black Edition Sunglasses,sunglasses,bavincis-black-and-black-edition-sunglasses,black - black,Store_E
